username,urls,post_dates,display_picture_relative_url,captions,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
justinbieber,https://www.instagram.com/p/-kUmirgviu,1448582768,./imgs/-kUmirgviu.png,Hell find a way to rescue u,1426505,31770,0,27,7,0,0,False
justinbieber,https://www.instagram.com/p/CF3GVxinzlv,1601684164,./imgs/CF3GVxinzlv.png,Feels like all our lives have changed.,1653472,9909,0,38,7,0,0,False
justinbieber,https://www.instagram.com/p/rX9x3EAvu3,1407365960,./imgs/rX9x3EAvu3.png,#fwis @adidasneolabel,789550,11925,1,21,2,0,0,False
justinbieber,https://www.instagram.com/p/btdkSMAvul,1373727531,./imgs/btdkSMAvul.png,Dream big,1119280,28637,0,9,2,0,0,False
justinbieber,https://www.instagram.com/p/9LW3GXAvh1,1445597608,./imgs/9LW3GXAvh1.png,nan,708299,4956,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/0lcSNmgvgs,1427145514,./imgs/0lcSNmgvgs.png,Today is randomly national puppy day,1191616,24624,0,36,6,0,1,False
justinbieber,https://www.instagram.com/p/B7POVRPH0b7,1578871341,./imgs/B7POVRPH0b7.png,nan,769498,5054,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/CGY3z4WnSEB,1602817397,./imgs/CGY3z4WnSEB.png,#lonely @drewhouse,2345492,15612,1,18,2,0,1,False
justinbieber,https://www.instagram.com/p/b2O_HMAvqu,1374021876,./imgs/b2O_HMAvqu.png,Sunset is unbelievable,848065,14223,0,22,3,0,0,False
justinbieber,https://www.instagram.com/p/7i5W1hAvjb,1442092479,./imgs/7i5W1hAvjb.png,@justinbieber,1079282,11786,0,13,1,0,0,False
justinbieber,https://www.instagram.com/p/euSW7,1325809416,./imgs/euSW7.png,Angelic O.J,131183,2724,0,11,2,0,0,False
justinbieber,https://www.instagram.com/p/6-6ZQmgvgU,1440885063,./imgs/6-6ZQmgvgU.png,Vmas tomorrow #whatdoyoumean,772916,5064,1,28,3,0,0,True
justinbieber,https://www.instagram.com/p/jYeFTDAvsm,1390203027,./imgs/jYeFTDAvsm.png,nan,821013,14587,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/nKJSWXgvns,1398312297,./imgs/nKJSWXgvns.png,Love your neighbor as yourself. And btw your neighbor isn't just the one next door ;) #wordsofencouragement ♛,1051503,32036,1,109,18,0,0,False
justinbieber,https://www.instagram.com/p/BV16kRCDRBE,1498565222,./imgs/BV16kRCDRBE.png,Favorite song,1095090,15274,0,13,2,0,0,False
justinbieber,https://www.instagram.com/p/2NZ3hlgvhx,1430633908,./imgs/2NZ3hlgvhx.png,nan,1395074,32047,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/739NLTgvpC,1442799140,./imgs/739NLTgvpC.png,🎥🎥@rorykramer,1018883,8737,0,13,1,2,0,False
justinbieber,https://www.instagram.com/p/BHGwL38B2AE,1466917950,./imgs/BHGwL38B2AE.png,People like the tour merch,1562390,20782,0,26,5,0,0,False
justinbieber,https://www.instagram.com/p/B7h5AGEntFg,1579497691,./imgs/B7h5AGEntFg.png,"I don't post this to prove anything, or to try and make people believe I love my wife, I simply think it's an honoring thing to do, publicly acknowledging your significant other!  Its like we're all okay with acknowledging an achievement or award, but think there has to be something shady about saying something publicly about the one you love. I have nothing to prove by saying I love my wife. I just think there is power in putting ur wife on a pedestal! I like to make my wife feel special and valued, Ive done a lot of cool things but I dont think anything comes close to as cool as that",1978468,27015,0,592,113,0,0,False
justinbieber,https://www.instagram.com/p/ue1_xsgvk5,1414039212,./imgs/ue1_xsgvk5.png,Come to our grand opening ♛,559074,16174,0,27,6,0,0,False
justinbieber,https://www.instagram.com/p/BUwqSgkDrUc,1496241432,./imgs/BUwqSgkDrUc.png,nan,1418092,12098,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/ylVBBXAvk8,1422846736,./imgs/ylVBBXAvk8.png,#bullseye #tombrady #Superbowl,966984,24557,3,30,3,0,0,True
